secuencia_rival_id,tipologia,cluster_trayectoria,period,match_time,point_order,ball_x_m,ball_y_m,tipo_finalizacion_tiro
6,T2,2.0,0,502530,18,55.579800000000006,53.5872,0
6,T2,2.0,0,502770,19,56.477399999999996,53.8176,0
6,T2,2.0,0,503010,20,57.700431629321514,54.38083284646802,0
6,T2,2.0,0,503530,21,59.42291338023102,54.823436488136025,0
6,T2,2.0,0,503770,22,60.2015934,55.2915072,0
6,T2,2.0,0,504010,23,61.08899340000001,55.0092672,0
7,T3,3.0,0,658770,0,24.74779896,20.47887104,0
7,T3,3.0,0,659250,1,25.836600000000004,26.2848,0
7,T3,3.0,0,659530,2,26.54160390851811,33.424979342877954,0
7,T3,3.0,0,660010,3,27.840621177698814,37.68728822463918,0
7,T3,3.0,0,660250,4,28.77870982219409,42.43070829433673,0
7,T3,3.0,0,660770,5,28.311879255974294,43.5799534172738,0
7,T3,3.0,0,661010,6,27.433194576,44.66400614399999,0
7,T3,3.0,0,661530,7,26.617023216000003,42.563233344000004,0
7,T3,3.0,0,662010,8,26.073701856000003,36.168088704,0
7,T3,3.0,0,662250,9,26.02810704,33.05446336,0
7,T3,3.0,0,662770,10,26.142599999999998,22.5088,0
7,T3,3.0,0,663010,11,26.4282,19.9808,0
7,T3,3.0,0,663530,12,29.212006882028753,19.897272165429197,0
7,T3,3.0,0,663770,13,30.215382490047162,19.91102217776436,0
7,T3,3.0,0,664250,14,32.3460768,19.8857856,0
7,T3,3.0,0,664530,15,34.76205288,20.71124096,0
7,T3,3.0,0,665010,16,40.29516528,22.67986176,0
7,T3,3.0,0,665530,17,49.388400000000004,26.3424,0
7,T3,3.0,0,665770,18,52.795199999999994,27.6288,0
7,T3,3.0,0,666250,19,59.598600000000005,30.2144,0
7,T3,3.0,0,666530,20,63.566399999999994,31.7184,0
7,T3,3.0,0,667010,21,70.3698,34.304,0
7,T3,3.0,0,667250,22,73.76639999999999,35.5904,0
7,T3,3.0,0,667770,23,80.835,35.9552,0
8,T3,3.0,0,691010,0,47.8992,62.272,0
8,T3,3.0,0,691530,1,45.787800000000004,60.6528,0
8,T3,3.0,0,692010,2,43.839600000000004,59.1552,0
8,T3,3.0,0,692530,3,41.7282,57.5296,0
8,T3,3.0,0,693010,4,39.78,56.032,0
8,T3,3.0,0,693530,5,36.776650120653635,54.11487814177593,0
8,T3,3.0,0,694010,6,35.639616,53.0800448,0
8,T3,3.0,0,694530,7,36.20591357329894,52.130479109157406,0
8,T3,3.0,0,695010,8,37.37229816000001,51.503568768,0
8,T3,3.0,0,695530,9,34.61313492000001,48.679574720000005,0
8,T3,3.0,0,696010,10,29.337413161567277,42.67333754869358,0
8,T3,3.0,0,696530,11,25.766301600000002,36.845817600000004,0
8,T3,3.0,0,696770,12,25.4898816,35.953017599999995,0
8,T3,3.0,0,697250,13,26.296899740445326,35.148315149216785,0
8,T3,3.0,0,697770,14,27.041058547423642,34.06499676739416,0
8,T3,3.0,0,698250,15,27.896755199999994,33.0519168,0
8,T3,3.0,0,698770,16,28.81192776,26.050563840000002,0
8,T3,3.0,0,699250,17,30.43673338526453,13.851309512469104,0
8,T3,3.0,0,699770,18,31.988893199999996,4.643455999999993,0
8,T3,3.0,0,700250,19,33.95838298610219,3.635346101370205,0
8,T3,3.0,0,700770,20,37.134788711999995,2.9482329599999932,0
8,T3,3.0,0,701250,21,42.13985874,2.9505465599999994,0
8,T3,3.0,0,701770,22,48.66646644000001,4.2740953600000005,0
8,T3,3.0,0,702250,23,58.343999999999994,6.8224,0
9,T2,2.0,0,800770,0,29.3334048,42.6540352,0
9,T2,2.0,0,801250,1,29.49606624,44.13210176,0
9,T2,2.0,0,801770,2,29.431813799240324,45.52371211019175,0
9,T2,2.0,0,802530,3,31.178809199999996,48.0003072,0
9,T2,2.0,0,803010,4,33.233625720000006,48.941483520000006,0
9,T2,2.0,0,803530,5,36.339046319999994,48.99021312000001,0
9,T2,2.0,0,804010,6,41.5446,48.4352,0
9,T2,2.0,0,804530,7,44.8596,48.5248,0
9,T2,2.0,0,805010,8,43.9926,49.9776,0
